Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities,day_from_jan_first,temp,min,max,stp,slp,dewp,rh,ah,wdsp,prcp,fog
1,,Afghanistan,33.0,65.0,2020-01-22,0.0,0.0,22,42.6,33.6,54.9,999.9,1024.3,27.4,0.5457088951690613,0.18644830513659869,9.4,0.0,0
2,,Afghanistan,33.0,65.0,2020-01-23,0.0,0.0,23,42.0,32.7,55.9,999.9,1020.8,22.8,0.46125945668164914,0.16322475754625712,14.9,99.99,1
3,,Afghanistan,33.0,65.0,2020-01-24,0.0,0.0,24,40.1,36.9,43.2,999.9,1018.6,34.5,0.801794165706993,0.3253754750121081,10.4,0.17,1
4,,Afghanistan,33.0,65.0,2020-01-25,0.0,0.0,25,46.0,37.9,56.3,999.9,1018.0,37.8,0.7281749416929073,0.21456240031432358,6.1,0.57,1
5,,Afghanistan,33.0,65.0,2020-01-26,0.0,0.0,26,42.8,36.1,53.1,999.9,1014.8,33.2,0.6855131474327004,0.23165613937001378,10.8,0.0,1
6,,Afghanistan,33.0,65.0,2020-01-27,0.0,0.0,27,43.0,36.5,50.7,999.9,1015.7,35.6,0.7486847041897151,0.25032472009065315,3.7,0.04,0
7,,Afghanistan,33.0,65.0,2020-01-28,0.0,0.0,28,41.7,34.7,48.2,999.9,1016.9,34.7,0.7595143724371821,0.2738824268446929,2.4,0.0,0
8,,Afghanistan,33.0,65.0,2020-01-29,0.0,0.0,29,15.2,13.3,16.9,774.1,1024.7,0.2,0.509437435315421,-0.035772858866873564,2.4,0.0,0
9,,Afghanistan,33.0,65.0,2020-01-30,0.0,0.0,30,15.2,13.3,16.9,774.1,1024.7,0.2,0.509437435315421,-0.035772858866873564,2.4,0.0,0
10,,Afghanistan,33.0,65.0,2020-01-31,0.0,0.0,31,5.6,4.8,7.7,774.4,1031.0,-0.6,0.7516883877522729,-0.021931256185362586,1.9,0.0,1
11,,Afghanistan,33.0,65.0,2020-02-01,0.0,0.0,32,5.6,4.8,7.7,774.4,1031.0,-0.6,0.7516883877522729,-0.021931256185362586,1.9,0.0,1
12,,Afghanistan,33.0,65.0,2020-02-02,0.0,0.0,33,20.5,3.9,36.0,773.4,1020.7,12.6,0.7109007390342748,-0.09156362868668275,4.5,1.73,1
13,,Afghanistan,33.0,65.0,2020-02-03,0.0,0.0,34,20.5,3.9,36.0,773.4,1020.7,12.6,0.7109007390342748,-0.09156362868668275,4.5,1.73,1
14,,Afghanistan,33.0,65.0,2020-02-04,0.0,0.0,35,4.2,-0.6,12.9,775.4,1033.3,-1.3,0.7753537963920739,-0.020155895337916858,3.3,0.0,1
